Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS
1,Roman Josi,29,NSH,D,1499,88.18,109,52,9,0,0,16,49,65,22,6.1,4.8,0,10.9
2,John Carlson,30,WSH,D,1267,74.53,56,83,23,2,5,15,60,75,12,7.2,3.5,0,10.7
3,Victor Hedman,29,TBL,D,820,48.24,4,25,104,27,4,11,44,55,27,4.7,4.8,0,9.5
4,Alex Pietrangelo,30,STL,D,527,31,1,9,24,104,22,16,36,52,11,4.8,4.3,0,9.1
5,Jaccob Slavin,25,CAR,D,138,8.12,0,1,5,15,61,6,30,36,30,2.2,5.7,0,7.9
6,Shea Theodore,24,VEG,D,39,2.29,0,0,1,7,13,13,33,46,12,4.2,3.9,0,8.1
7,Dougie Hamilton,26,CAR,D,35,2.06,0,0,2,5,10,14,26,40,30,4,4.6,0,8.6
8,Zach Werenski,22,CBJ,D,23,1.35,0,0,0,5,8,20,21,41,9,4.4,4.8,0,9.1
9,Cale Makar,21,COL,D,23,1.35,0,0,0,2,17,12,38,50,12,4.8,2.9,0,7.7
10,Charlie McAvoy,22,BOS,D,14,0.82,0,0,1,1,6,5,27,32,24,1.8,5.1,0,6.9
11,Esa Lindell,25,DAL,D,5,0.29,0,0,1,0,0,3,20,23,5,0.6,4.7,0,5.4
12,Anthony DeAngelo,24,NYR,D,5,0.29,0,0,0,1,2,15,38,53,12,5.2,3.2,0,8.4
12,Miro Heiskanen,20,DAL,D,5,0.29,0,0,0,1,2,8,27,35,14,2.4,5.4,0,7.8
14,Seth Jones,25,CBJ,D,5,0.29,0,0,0,0,5,6,24,30,10,1.9,4.6,0,6.5
15,Quinn Hughes,20,VAN,D,3,0.18,0,0,0,0,3,8,45,53,-10,4.2,2.3,0,6.5
15,Shea Weber,34,MTL,D,3,0.18,0,0,0,0,3,15,21,36,8,3.4,3.8,0,7.3
17,Kris Letang,32,PIT,D,2,0.12,0,0,0,0,2,15,29,44,0,4,3.4,0,7.4
17,Ivan Provorov,23,PHI,D,2,0.12,0,0,0,0,2,13,23,36,11,2.8,4.3,0,7.1
19,Jonas Brodin,26,MIN,D,1,0.06,0,0,0,0,1,2,26,28,15,1.2,4,0,5.2
19,Zdeno Chara,42,BOS,D,1,0.06,0,0,0,0,1,5,9,14,26,0.1,5,0,5.1
19,Drew Doughty,30,LAK,D,1,0.06,0,0,0,0,1,7,28,35,-16,2.1,3.3,0,5.4
19,Torey Krug,28,BOS,D,1,0.06,0,0,0,0,1,9,40,49,-4,4.3,2.3,0,6.7
19,Jared Spurgeon,30,MIN,D,1,0.06,0,0,0,0,1,12,20,32,-1,2.7,2.6,0,5.4
