Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Philadelphia Flyers*,82,45,24,13,103,0.628,282,208,0.88,-0.03,,,,
New York Rangers*,82,41,27,14,96,0.585,272,237,0.43,0,,,,
Florida Panthers*,82,41,31,10,92,0.561,254,234,0.27,0.02,,,,
Washington Capitals*,82,39,32,11,89,0.543,234,204,0.38,0.02,,,,
Tampa Bay Lightning*,82,38,32,12,88,0.537,238,248,-0.07,0.05,,,,
New Jersey Devils,82,37,33,12,86,0.524,215,202,0.2,0.04,,,,
New York Islanders,82,22,50,10,54,0.329,229,315,-0.94,0.11,,,,
Pittsburgh Penguins*,82,49,29,4,102,0.622,362,284,0.9,-0.05,,,,
Boston Bruins*,82,40,31,11,91,0.555,282,269,0.17,0.01,,,,
Montreal Canadiens*,82,40,32,10,90,0.549,265,248,0.2,-0.01,,,,
Hartford Whalers,82,34,39,9,77,0.47,237,259,-0.22,0.05,,,,
Buffalo Sabres,82,33,42,7,73,0.445,247,262,-0.16,0.03,,,,
Ottawa Senators,82,18,59,5,41,0.25,191,291,-1.12,0.1,,,,
Detroit Red Wings*,82,62,13,7,131,0.799,325,181,1.64,-0.11,,,,
Chicago Blackhawks*,82,40,28,14,94,0.573,273,220,0.61,-0.04,,,,
Toronto Maple Leafs*,82,34,36,12,80,0.488,247,252,-0.07,0,,,,
St. Louis Blues*,82,32,34,16,80,0.488,219,248,-0.35,0,,,,
Winnipeg Jets*,82,36,40,6,78,0.476,275,291,-0.18,0.02,,,,
Dallas Stars,82,26,42,14,66,0.402,227,280,-0.6,0.05,,,,
Colorado Avalanche*,82,47,25,10,104,0.634,326,240,0.93,-0.12,,,,
Calgary Flames*,82,34,37,11,79,0.482,241,240,-0.04,-0.05,,,,
Vancouver Canucks*,82,32,35,15,79,0.482,278,278,-0.05,-0.05,,,,
Mighty Ducks of Anaheim,82,35,39,8,78,0.476,234,247,-0.19,-0.03,,,,
Edmonton Oilers,82,30,44,8,68,0.415,240,304,-0.78,0,,,,
Los Angeles Kings,82,24,40,18,66,0.402,256,302,-0.59,-0.03,,,,
San Jose Sharks,82,20,55,7,47,0.287,252,357,-1.25,0.03,,,,
